Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;reg_cca_en_pow_ltf_det;[7:0];8'hab;R/W;;;;
0x00A4;AGC_PEAK_POW_DIFF;pclk;reset_n;;;reg_pk_pow_aci_delta_2c;[31:24];8'd18;R/W;;;;
;;;;;;reg_pk_pow_diff_th_2c;[23:16];8'd18;R/W;;;;
;;;;;;reg_pk_pow_diff_th_1c;[15:8];8'd12;R/W;;;;
;;;;;;reg_pk_pow_diff_th_0c;[7:0];8'd6;R/W;;;;
0x00A8;AGC_PEAK_POW_ACI_DIFF;pclk;reset_n;;;;[31];1'b0;R/W;;;;
;;;;;;reg_unlk_check_force_inband;[30];1'b0;R/W;;;;
;;;;;;reg_pk_ajst_lna_only;[29];1'b0;R/W;;;;
;;;;;;reg_pk_pow_diff_scal;[28:24];5'd16;R/W;;;;
;;;;;;reg_exlna_fix_delta;[23:16];8'd0;R/W;;;;
;;;;;;reg_pk_pow_aci_delta_1c;[15:8];8'd12;R/W;;;;
;;;;;;reg_pk_pow_aci_delta_0c;[7:0];8'd6;R/W;;;;
0x00AC;AGC_ECO;pclk;reset_n;;;reg_agc_reserve;[31:0];32'h0;R/W;;;;~
0x00B0;DFE_CG_CONF;pclk;reset_n;;;;[31:6];26'h0;RO;;;;
;;;;;;reg_sync_path_cg_bypass;[5];1'h0;R/W;;;;~
;;;;;;reg_ch_sel_cg_bypass;[4];1'h0;R/W;;;;~
;;;;;;reg_rx_dfe_phymode_x4_cg_bypass;[3];1'h0;R/W;;;;~
;;;;;;reg_dfe_iqcomb_cg_bypass;[2];1'h0;R/W;;;;~
;;;;;;reg_datapath_ch_sel_cg_bypass;[1];1'h0;R/W;;;;~
;;;;;;reg_frame_dc_cg_bypass;[0];1'h0;R/W;;;;~
0x00B4;DFE_CONF0;pclk;reset_n;;;;[31:26];6'h0;RO;;;;
;;;;;;reg_iq_dpd_off_aci;[25];1'b0;R/W;;;;
;;;;;;reg_aci_fir_en;[24];1'b0;R/W;;;;
;;;;;;reg_160m_he_aci_fir_en;[23];1'b0;R/W;;;;
;;;;;;reg_notch_work_at_40m;[22];1'b0;R/W;;;;
;;;;;;reg_rx_dfe_input_skip;[21:16];6'd0;R/W;;;;
;;;;;;reg_rx_dfe_input_skip_en;[15];1'b0;R/W;;;;
;;;;;;reg_off_sync_dc_est_when_coarse_timing_found_en;[14];1'b0;R/W;;;;
;;;;;;reg_rx_sco_bypass;[13];1'h0;R/W;;;;
;;;;;;reg_iq_comp_en;[12];1'h1;R/W;;;;
;;;;;;reg_fft_win_adj_pre;[11:7];5'd2;R/W;;;;~
;;;;;;reg_adc_2x_aci_filter_sel;[6];1'h0;R/W;;;;
;;;;;;reg_rxdfe_force_data_on;[5];1'h0;R/W;;;;~
;;;;;;reg_rx_cfo_bypass;[4];1'h0;R/W;;;;
;;;;;;reg_coarse_phase_2_sco_bypass;[3];1'h0;R/W;;;;~
;;;;;;reg_data_cic_comp_on;[2];1'h1;R/W;;;;~
;;;;;;reg_cca_ciccomp_on;[1];1'h1;R/W;;;;~
;;;;;;reg_sync_ciccomp_on;[0];1'h1;R/W;;;;~
0x00B8;DFE_CONF1;pclk;reset_n;;;;[31:23];9'h0;RO;;;;
;;;;;;reg_hltf_fftwin_adj_en;[22];1'b0;R/W;;;;
;;;;;;reg_fft_win_normalgi;[21:17];5'd8;R/W;;;;
;;;;;;reg_fft_win_double_gi;[16:12];5'd16;R/W;;;;
;;;;;;reg_fft_win_quadruple_gi;[11:6];6'd32;R/W;;;;
;;;;;;reg_fft_win_short_gi;[5:0];6'd4;R/W;;;;
0x00BC;DFE_CONF2;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_cca_pkt_adj_dotb;[27:21];7'd0;R/W;;;;
;;;;;;reg_cca_pkt_adj_ofdm;[20:14];7'd0;R/W;;;;
;;;;;;reg_sco_up_sample_en;[13];1'b1;R/W;;;;~
;;;;;;reg_data_sync_dly;[12:7];6'd16;R/W;;;;~
;;;;;;reg_agc_strame_frez;[6];1'h0;R/W;;;;~
;;;;;;reg_force_freq_zero;[5];1'h0;R/W;;;;~
;;;;;;reg_dc_preambledc_forcecomp_en;[4];1'h0;R/W;;;;
;;;;;;reg_dc_syncdc_forcecomp_en;[3];1'h0;R/W;;;;
;;;;;;reg_ppm_offset_inc_en;[2];1'h0;R/W;;;;
;;;;;;reg_refine_phase_sco_bypass;[1];1'h0;R/W;;;;
;;;;;;reg_coarse_phase_sco_bypass;[0];1'h0;R/W;;;;
0x00C0;DFE_CONF4;pclk;reset_n;;;reg_dc_est_sync_rst_th;[31:24];8'd178;R/W;;;;~
;;;;;;reg_length_track_delta_nonht_ofdm;[23:18];6'd0;R/W;;;;~
;;;;;;reg_length_track_delta_ht_mf;[17:12];6'd0;R/W;;;;~
;;;;;;reg_length_track_delta_vht;[11:6];6'd0;R/W;;;;~
;;;;;;reg_length_track_delta_he;[5:0];6'd0;R/W;;;;~
0x00C4;DFE_CONF5;pclk;reset_n;;;;[31:25];7'h0;RO;;;;
;;;;;;reg_rxdc_comp_on;[24];1'h1;R/W;;;;
;;;;;;reg_dc_interframe_update;[23];1'h1;R/W;;;;
;;;;;;reg_virtual_dc_en;[22];1'd0;R/W;;;;
;;;;;;reg_dc_comp_en;[21];1'd1;R/W;;;;
;;;;;;reg_dc_comp_algo_select;[20:19];2'd2;R/W;;;;
;;;;;;reg_dc_sync_dc_comp_en;[18];1'd1;R/W;;;;
;;;;;;reg_dc_htstf_symidx;[17:9];9'h1ff;R/W;;;;~
;;;;;;reg_dc_data_symidx;[8:0];9'h9;R/W;;;;~
0x00C8;DFE_CONF6;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_rf_test_en;[30];1'h0;R/W;;;;~
;;;;;;reg_rx_frame_dc_stat_clr;[29];1'h0;R/W;;;;~
;;;;;;reg_dc_frame_comp_en;[28];1'h1;R/W;;;;
;;;;;;reg_dc_est_sync_num;[27:23];5'd16;R/W;;;;
;;;;;;reg_dc_frame_dc_est;[22];1'h1;R/W;;;;
;;;;;;reg_dc_sync_alpha;[21:15];7'd64;R/W;;;;
;;;;;;reg_dc_frame_dc_alpha;[14:8];7'd16;R/W;;;;
;;;;;;reg_dc_frame_dc_preamble_alpha;[7:1];7'd16;R/W;;;;
;;;;;;reg_dc_htstf_force_flag;[0];1'h0;R/W;;;;~
0x00CC;DFE_CONF7;pclk;reset_n;;;;[31:25];7'h0;RO;;;;
;;;;;;reg_11b_overtime_thre;[24:23];2'd3;R/W;;;;~
;;;;;;reg_ofdm_overtime_thre;[22:21];2'd2;R/W;;;;~
;;;;;;reg_rx_save_mode;[20];1'd0;R/W;;;;
;;;;;;reg_rx_save_mode_active_rx;[19:18];2'd0;R/W;;;;
;;;;;;reg_rxsave_mode_power_onth_low;[17:9];9'h1b0;R/W;;;;
;;;;;;reg_rx_save_mode_power_onth_high;[8:0];9'h1fb;R/W;;;;
0x00D0;DFE_CONF8;pclk;reset_n;;;reg_fine_tim_dly_phy160;[31:26];6'h0;R/W;;;;
;;;;;;reg_sync_freq2_freq_factor;[25:13];13'd4096;R/W;;;;
;;;;;;reg_mode80plus_mod_freq_convert;[12:0];13'h0;R/W;;;;~
0x00D4;DFE_CONF9;pclk;reset_n;;;reg_fine_tim_dly_phy80;[31:26];6'h0;R/W;;;;
;;;;;;reg_fine_tim_dly_phy40;[25:20];6'h0;R/W;;;;
;;;;;;reg_ppm_conv_factor;[19:0];20'd4152;R/W;;;;
0x00D8;DFE_CONF10;pclk;reset_n;;;reg_bw_chg_dly_start;[31:24];8'd0;R/W;;;;~
;;;;;;reg_bw_chg_dly_htstf;[23:16];8'd0;R/W;;;;~
;;;;;;reg_sym4_dly_phy20;[15:8];8'd0;R/W;;;;~
;;;;;;reg_fine_tim_dly_phy20;[7:0];8'd0;R/W;;;;~
0x00DC;DFE_CONF11;pclk;reset_n;;;reg_gi_combine_en;[31];1'd1;R/W;;;;
;;;;;;reg_gi_combine_start_sym_idx;[30:20];11'd0;R/W;;;;
;;;;;;reg_gi_combine_blocked_mcs;[19:16];4'd8;R/W;;;;
;;;;;;reg_gi_combin_shift;[15:8];8'd0;R/W;;;;
;;;;;;reg_rx_puncture_en;[7];1'd1;R/W;;;;
;;;;;;reg_gi_combin_off2_bk;[6];1'd0;R/W;;;;
;;;;;;reg_rushift_force_disen_rxpunc_en;[5];1'd0;R/W;;;;
;;;;;;reg_sync_lpf_en;[4];1'd1;R/W;;;;
;;;;;;reg_coarse_phase_rpt2mac_en;[3];1'd1;R/W;;;;
;;;;;;reg_fine_phase_rpt2mac_en;[2];1'd1;R/W;;;;
;;;;;;reg_sig_phase_rpt2mac_en;[1];1'd1;R/W;;;;
