Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0080;TXTIME_RPT0;pclk;reset_n;;;;[31:29];3'b0;RO;;;;~
;;;;;;reg_tx_dump_err_src_idx1;[28:25];4'd1;R/W;;;;~
;;;;;;reg_tx_dump_err_src_idx0;[24:21];4'd0;R/W;;;;~
;;;;;;reg_rpt_ppm_rec;[20:5];16'd0;RO;;;;~
;;;;;;reg_txsco_ppm_format_sel;[4:1];4'd7;R/W;;;;~
;;;;;;reg_tx_rpt_clr;[0];1'b0;R/W;;;;~
0x0084;TXTIME_RPT1;pclk;reset_n;;;reg_rpt_fft_size_err_cnt;[31:16];16'b0;RO;;;;~
;;;;;;reg_rpt_ant_err_cnt;[15:0];16'b0;RO;;;;~
0x0088;TXTIME_RPT2;pclk;reset_n;;;reg_rpt_sco_convld_err_cnt;[31:16];16'b0;RO;;;;~
;;;;;;reg_rpt_less_data_err_cnt;[15:0];16'b0;RO;;;;~
0x008C;TXTIME_RPT3;pclk;reset_n;;;reg_rpt_iq_dp_err_cnt;[31:16];16'b0;RO;;;;~
;;;;;;reg_rpt_dp_convld_err_cnt;[15:0];16'b0;RO;;;;~
0x0090;TXTONE_LUT1;pclk;reset_n;;;;[31:30];2'b0;RO;;;;~
;;;;;;reg_sw_3rd_tone_en;[29];1'b0;R/W;;;;
;;;;;;reg_sw_2nd_tone_en;[28];1'b0;R/W;;;;
;;;;;;reg_sw_1st_tone_fstep;[27:12];16'd0;R/W;;;;~
;;;;;;reg_sw_1st_tone_src_sel;[11];1'd0;R/W;;;;~
;;;;;;reg_sw_1st_tone_phase_cfg;[10:8];3'd0;R/W;;;;~
;;;;;;reg_sw_1st_tone_phase_dis;[7];1'd1;R/W;;;;~
;;;;;;reg_sw_1st_tone_inv;[6:3];4'b0;R/W;;;;~
;;;;;;reg_sw_1st_tone_sel;[2:1];2'b0;R/W;;;;~
;;;;;;reg_sw_1st_tone_en;[0];1'b0;R/W;;;;
0x0094;TXTONE_LUT2;pclk;reset_n;;;;[31:27];5'b0;RO;;;;~
;;;;;;reg_sw_2nd_tone_fstep;[26:11];16'd0;R/W;;;;~
;;;;;;reg_sw_2nd_tone_src_sel;[10];1'd0;R/W;;;;~
;;;;;;reg_sw_2nd_tone_phase_cfg;[9:7];3'd0;R/W;;;;~
;;;;;;reg_sw_2nd_tone_phase_dis;[6];1'd1;R/W;;;;~
;;;;;;reg_sw_2nd_tone_inv;[5:2];4'b0;R/W;;;;~
;;;;;;reg_sw_2nd_tone_sel;[1:0];2'b0;R/W;;;;~
0x0098;TXTONE_MEM1;pclk;reset_n;;;;[31:25];7'b0;RO;;;;~
;;;;;;reg_tx_tone_mem_wr_data;[24:1];24'd0;R/W;;;;~
;;;;;;reg_tx_tone_mem_wr;[0];1'd0;R/W;;;;~
0x009C;TXTONE_MEM2;pclk;reset_n;;;;[31:13];19'b0;RO;;;;~
;;;;;;reg_tx_tone_mem_swrd_en;[12];1'd0;R/W;;;;~
;;;;;;reg_tx_tone_mem_addr;[11:0];12'd0;R/W;;;;~
0x00A0;TXTONE_CFG1;pclk;reset_n;;;reg_tx_tone_mem_swrd_data;[31:8];24'b0;RO;;;;~
;;;;;;reg_sw_tone_trx_lop_src;[7];1'd0;R/W;;;;~
;;;;;;reg_sw_tone_mode_ch1;[6:5];2'd0;R/W;;;;~
;;;;;;reg_sw_tone_en_ch1;[4];1'd0;R/W;;;;~
;;;;;;reg_sw_tone_mode_ch0;[3:2];2'd0;R/W;;;;~
;;;;;;reg_sw_tone_en_ch0;[1];1'd0;R/W;;;;~
;;;;;;reg_sw_tone_trx_lop_en;[0];1'd0;R/W;;;;~
0x00A4;NORM_CFG3;pclk;reset_n;;;reg_tx_fir1x_ofdm_rk1_th;[31:28];4'd9;R/W;;;;
;;;;;;reg_tx_fir1x_ofdm_rk0_th;[27:24];4'd4;R/W;;;;
;;;;;;reg_tx_reserve;[23:8];16'd0;R/W;;;;~
;;;;;;reg_tx_cso_format_sel;[7:4];4'd0;R/W;;;;~
;;;;;;reg_tx_cso_format_sel_en;[3];1'd0;R/W;;;;~
;;;;;;reg_tx_ant_force;[2:1];2'd0;R/W;;;;~
;;;;;;reg_tx_ant_force_en;[0];1'd0;R/W;;;;~
0x00A8;TX_DIGANA_CFG3;pclk;reset_n;;;;[31:21];11'b0;RO;;;;~
