Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0070;RXCTRLFD_CONF14;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_lowsnr_abort_mcs13_thre;[29:24];6'd20;R/W;;;;~
;;;;;;reg_lowsnr_abort_mcs4_thre;[23:18];6'd6 ;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs5_thre;[17:12];6'd10;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs6_thre;[11:6];6'd11;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs7_thre;[5:0];6'd13;R/W;;;;
0x0074;RXCTRLFD_CONF15;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_lowsnr_abort_mcs8_thre ;[23:18];6'd17;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs9_thre ;[17:12];6'd18;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs10_thre;[11:6];6'd20;R/W;;;;
;;;;;;reg_lowsnr_abort_mcs11_thre;[5:0];6'd20;R/W;;;;
0x0078;RXCTRLFD_CONF16;pclk;reset_n;;;reg_rx_err_abort_ctrl;[31:0];32'hfffd7fff;R/W;;;;~
0x007C;RXCTRLFD_CONF17;pclk;reset_n;;;;[31:6];26'h0;RO;;;;
;;;;;;reg_rxfreq_dump_sel;[5];1'd0;R/W;;;;~
;;;;;;reg_dec_of_det_en  ;[4];1'd1;R/W;;;;~
;;;;;;reg_dec_of_det_thre;[3:0];4'd8;R/W;;;;~
0x0080;RXCTRLFD_CONF18;pclk;reset_n;;;reg_rxctrlfd_0rsv;[31:0];32'd0;R/W;;;;~
0x0084;RXCTRLFD_CONF19;pclk;reset_n;;;reg_rxctrlfd_1rsv;[31:0];32'd0;R/W;;;;~
0x0088;RXCTRLFD_CONF20;pclk;reset_n;;;reg_rxctrlfd_2rsv;[31:0];32'd0;R/W;;;;~
0x008C;SMTH_CONF0;pclk;reset_n;;;;[31:24];8'h0;RO;;;;
;;;;;;reg_chnull_stbc_disable;[23];1'b0;R/W;;;;
;;;;;;reg_spur_smth_bypass ;[22];1'b1;R/W;;;;~
;;;;;;reg_gicombine_heltf_idx_thr ;[21:19];3'd3;R/W;;;;
;;;;;;reg_gicombine_htltf_idx_thr ;[18:16];3'd3;R/W;;;;
;;;;;;reg_gicombine_lltf_idx_thr  ;[15:13];3'd3;R/W;;;;
;;;;;;reg_chnull_mcs_thr;[12:9];4'd5;R/W;;;;
;;;;;;reg_corr_lvl_thr0;[8:0];9'd461;R/W;;;;
0x0090;SMTH_CONF1;pclk;reset_n;;;;[31:9];23'h0;RO;;;;
;;;;;;reg_corr_lvl_thr1;[8:0];9'd358;R/W;;;;
0x0094;SMTH_CONF2;pclk;reset_n;;;;[31:9];23'h0;RO;;;;
;;;;;;reg_corr_lvl_thr2;[8:0];9'd205;R/W;;;;
0x0098;SMTH_CONF3;pclk;reset_n;;;;[31:9];23'h0;RO;;;;
;;;;;;reg_corr_lvl_thr3;[8:0];9'd410;R/W;;;;
0x009C;SMTH_CONF4;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_snr_lvl_thr0;[13:0];14'd10  ;R/W;;;;
0x00A0;SMTH_CONF5;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_snr_lvl_thr1;[13:0];14'd63  ;R/W;;;;
0x00A4;SMTH_CONF6;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_snr_lvl_thr2;[13:0];14'd400  ;R/W;;;;
0x00A8;SMTH_CONF7;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_snr_lvl_thr3;[13:0];14'd2524  ;R/W;;;;
0x00AC;SMTH_CONF8;pclk;reset_n;;;;[31:14];18'h0;RO;;;;
;;;;;;reg_snr_lvl_thr4;[13:0];14'd10048  ;R/W;;;;
0x00B0;SMTH_CONF9;pclk;reset_n;;;reg_smth_force_corr_delay;[31:30];2'h0;R/W;;;;
;;;;;;reg_chnull_thr          ;[29:25];5'd5;R/W;;;;
;;;;;;reg_fft_win_adj_ex      ;[24:17];8'd3;R/W;;;;
;;;;;;reg_fft_win_adj_ex_en   ;[16];1'd1;R/W;;;;
;;;;;;reg_fft_win_adj_heltf_en;[15];1'd1;R/W;;;;
;;;;;;reg_fft_win_adj_htltf_en;[14];1'd1;R/W;;;;
;;;;;;reg_fft_win_adj_lltf_en ;[13];1'd1;R/W;;;;
;;;;;;reg_smth_csd_est_en     ;[12];1'd0;RO;;;;
;;;;;;reg_smth_edge_mode      ;[11:10];2'd2;R/W;;;;
;;;;;;reg_smth_filt_heltf_idx ;[9:7];3'd7;R/W;;;;
;;;;;;reg_smth_filt_htltf_idx ;[6:4];3'd7;R/W;;;;
;;;;;;reg_smth_filt_lltf_idx  ;[3:1];3'd7;R/W;;;;
;;;;;;reg_smth_rot_use_csd    ;[0];1'd1;R/W;;;;
0x00B4;MIMO_EQU_CONF0;pclk;reset_n;;;;[31];1'h0;RO;;;;
;;;;;;reg_llr_aci      ;[30:28];3'h0;R/W;;;;
;;;;;;;[27:24];4'h0;RO;;;;
;;;;;;reg_equ_mcs_thres;[23:20];4'd4 ;R/W;;;;
;;;;;;reg_equ_snr_thres;[19:4];16'd1265;R/W;;;;
;;;;;;reg_n0_min;[3:0];4'd1;R/W;;;;
0x00B8;MIMO_EQU_CONF1;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_mcs9_bcc_man;[29:27];3'd3;R/W;;;;
;;;;;;reg_mcs8_bcc_man;[26:24];3'd2;R/W;;;;
;;;;;;reg_mcs7_bcc_man;[23:21];3'd3;R/W;;;;
;;;;;;reg_mcs6_bcc_man;[20:18];3'd2;R/W;;;;
;;;;;;reg_mcs5_bcc_man;[17:15];3'd4;R/W;;;;
;;;;;;reg_mcs4_bcc_man;[14:12];3'd3;R/W;;;;
;;;;;;reg_mcs3_bcc_man;[11:9];3'd3;R/W;;;;
;;;;;;reg_mcs2_bcc_man;[8:6];3'd2;R/W;;;;
;;;;;;reg_mcs1_bcc_man;[5:3];3'd3;R/W;;;;
;;;;;;reg_mcs0_bcc_man;[2:0];3'd1;R/W;;;;
0x00BC;MIMO_EQU_CONF2;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_mcs7_ldpc_man;[29:27];3'd2;R/W;;;;
;;;;;;reg_mcs6_ldpc_man;[26:24];3'd4;R/W;;;;
;;;;;;reg_mcs5_ldpc_man;[23:21];3'd3;R/W;;;;
;;;;;;reg_mcs4_ldpc_man;[20:18];3'd2;R/W;;;;
;;;;;;reg_mcs3_ldpc_man;[17:15];3'd4;R/W;;;;
;;;;;;reg_mcs2_ldpc_man;[14:12];3'd4;R/W;;;;
;;;;;;reg_mcs1_ldpc_man;[11:9];3'd4;R/W;;;;
;;;;;;reg_mcs0_ldpc_man;[8:6];3'd2;R/W;;;;
;;;;;;reg_mcs11_bcc_man;[5:3];3'd3;R/W;;;;
;;;;;;reg_mcs10_bcc_man;[2:0];3'd3;R/W;;;;
0x00C0;MIMO_EQU_CONF3;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;;reg_mcs13_ldpc_exp;[27:23];5'd24;R/W;;;;~
;;;;;;reg_mcs12_ldpc_exp;[22:18];5'd25;R/W;;;;~
;;;;;;reg_mcs13_ldpc_man;[17:15];3'd2;R/W;;;;~
;;;;;;reg_mcs12_ldpc_man;[14:12];3'd3;R/W;;;;~
;;;;;;reg_mcs11_ldpc_man;[11:9];3'd2;R/W;;;;
;;;;;;reg_mcs10_ldpc_man;[8:6];3'd2;R/W;;;;
;;;;;;reg_mcs9_ldpc_man;[5:3];3'd2;R/W;;;;
;;;;;;reg_mcs8_ldpc_man;[2:0];3'd4;R/W;;;;
0x00C4;MIMO_EQU_CONF4;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;;reg_mcs5_bcc_exp;[29:25];5'd28;R/W;;;;
;;;;;;reg_mcs4_bcc_exp;[24:20];5'd29;R/W;;;;
;;;;;;reg_mcs3_bcc_exp;[19:15];5'd30;R/W;;;;
;;;;;;reg_mcs2_bcc_exp;[14:10];5'd31;R/W;;;;
;;;;;;reg_mcs1_bcc_exp;[9:5];5'd0;R/W;;;;
;;;;;;reg_mcs0_bcc_exp;[4:0];5'd0;R/W;;;;
0x00C8;MIMO_EQU_CONF5;pclk;reset_n;;;;[31:30];2'h0;R/W;;;;
;;;;;;reg_mcs11_bcc_exp;[29:25];5'd25;R/W;;;;
;;;;;;reg_mcs10_bcc_exp;[24:20];5'd26;R/W;;;;
;;;;;;reg_mcs9_bcc_exp;[19:15];5'd26;R/W;;;;
;;;;;;reg_mcs8_bcc_exp;[14:10];5'd26;R/W;;;;
;;;;;;reg_mcs7_bcc_exp;[9:5];5'd27;R/W;;;;
;;;;;;reg_mcs6_bcc_exp;[4:0];5'd27;R/W;;;;
0x00CC;MIMO_EQU_CONF6;pclk;reset_n;;;;[31:30];2'h0;R/W;;;;
;;;;;;reg_mcs5_ldpc_exp;[29:25];5'd27;R/W;;;;
;;;;;;reg_mcs4_ldpc_exp;[24:20];5'd28;R/W;;;;
